"RESULTID","RACEID","DRIVERID","GRID","POSITIONTEXT","POINTS","LAPS","TIME","FASTESTLAP","FASTESTLAPSPEED"
432,38,24,18,"R",0,26,"",23,203.537
433,38,18,16,"R",0,0,"",,
434,38,26,19,"R",0,0,"",,
435,39,13,1,"1",10,65,"31:36.2",14,202.685
436,39,1,4,"2",8,65,"6.79",20,202.205
437,39,4,2,"3",6,65,"17.456",17,201.986
438,39,9,5,"4",5,65,"31.615",20,201.59
439,39,14,9,"5",4,65,"58.331",18,200.636
440,39,3,11,"6",3,65,"59.538",60,200.231
441,39,5,8,"7",2,65,"+1:02.128",32,201.952
442,39,11,13,"8",1,64,"",23,199.239
443,39,21,10,"9",0,64,"",57,200.55
444,39,22,12,"10",0,64,"",16,198.82
445,39,19,15,"11",0,64,"",59,198.811
446,39,18,14,"12",0,64,"",64,199.059
447,39,16,20,"13",0,63,"",57,196.71
448,39,27,21,"14",0,63,"",61,196.551
449,39,2,7,"R",0,46,"",22,200.735
450,39,23,17,"R",0,44,"",37,199.492
451,39,24,16,"R",0,19,"",18,196.673
452,39,26,22,"R",0,9,"",6,194.322
453,39,8,3,"R",0,9,"",7,200.754
454,39,15,6,"R",0,8,"",6,194.647
455,39,17,19,"R",0,7,"",4,194.131
456,39,25,18,"R",0,1,"",,
457,40,4,1,"1",10,78,"40:29.3",44,159.715
458,40,1,2,"2",8,78,"4.095",28,159.528
459,40,13,3,"3",6,78,"+1:09.114",47,157.83
460,40,21,4,"4",5,77,"",54,157.683
461,40,9,8,"5",4,77,"",39,158.198
462,40,2,7,"6",3,77,"",30,156.072
463,40,25,11,"7",2,77,"",40,156.852
464,40,8,16,"8",1,77,"",62,156.987
465,40,26,18,"9",0,77,"",73,156.426
466,40,22,9,"10",0,77,"",69,155.993
467,40,18,10,"11",0,77,"",40,156.558
468,40,3,5,"12",0,77,"",70,156.174
469,40,5,15,"13",0,76,"",72,155.953
470,40,14,13,"14",0,76,"",75,156.591
471,40,15,14,"15",0,76,"",53,155.158
472,40,23,20,"16",0,76,"",47,155.688
473,40,11,21,"17",0,76,"",74,155.785
474,40,19,17,"18",0,76,"",63,155.704
475,40,27,22,"19",0,70,"",70,154.77
476,40,16,19,"R",0,53,"",34,154.792
477,40,17,6,"R",0,17,"",17,152.206
478,40,24,12,"R",0,2,"",,
479,41,1,1,"1",10,70,"44:11.3",37,205.239
480,41,2,3,"2",8,70,"4.343",19,204.699
481,41,25,19,"3",6,70,"5.325",67,201.413
482,41,5,22,"4",5,70,"6.729",67,200.331
483,41,8,4,"5",4,70,"13.007",21,204.259
484,41,11,11,"6",3,70,"16.698",47,201.186
485,41,4,2,"7",2,70,"21.936",46,205.58
486,41,23,18,"8",1,70,"22.888",38,201.509
487,41,17,6,"9",0,70,"22.96",47,202.267
488,41,3,7,"10",0,70,"23.984",42,203.478
489,41,19,17,"11",0,70,"24.318",36,199.284
490,41,22,13,"12",0,70,"30.439",62,199.885
491,41,15,10,"R",0,58,"",12,198.497
